IDENTIFIER,GSM1338298,GSM1338302,GSM1338306,GSM1338297,GSM1338301,GSM1338305,GSM1338296,GSM1338300,GSM1338304,GSM1338295,GSM1338299,GSM1338303,label
YIPF6,0.20312736,0.184859303,0.303740099,0.098178308,0.097411503,0.087408221,0.448109961,0.408301498,0.403184699,0.456078761,0.486791341,0.288094492,FALSE
GFM2,-0.268736287,-0.278331145,-0.273816545,-0.271109049,-0.277302106,-0.283054424,-0.282121693,-0.295650046,-0.27444784,-0.274387291,-0.280710478,-0.284815716,FALSE
ZNF394,0.210937902,0.948431898,0.312615861,0.248209719,0.210504604,0.517971519,0.329934541,0.232938548,0.090042449,0.223832325,0.190119969,0.167502985,FALSE
RRM2B,-0.15685992,-0.152173496,-0.137407341,-0.177116964,-0.175500954,-0.174512829,-0.288002295,-0.294941892,-0.275922054,-0.277068308,-0.274449276,-0.263414032,TRUE
ARL1,-0.042315653,-0.01493379,-0.028480459,0.096421692,0.134341267,0.099479723,-0.085372389,-0.108429733,-0.097624516,0.097138108,0.034346257,-0.021032488,FALSE
AP4E1,-0.275362742,-0.280532483,-0.269606449,-0.244851845,-0.214367894,-0.213007681,-0.274254472,-0.277826849,-0.290632215,-0.217819981,-0.208619484,-0.241700102,FALSE
APLP1,-0.225524463,-0.235666322,-0.217592538,-0.145451867,-0.19727504,-0.204901772,-0.313166634,-0.316122723,-0.315042918,-0.317108775,-0.3145698,-0.314085719,TRUE
RIOK3,0.233373786,0.32154108,0.189347124,0.272672327,0.401120617,0.282247204,0.302322257,0.373494231,0.22427234,0.519018415,0.463422336,0.376030644,FALSE
NOA1,0.12096939,0.20025829,0.216278871,0.008008779,-0.017030919,0.038668982,0.550020451,0.525831846,0.484480962,0.211162179,0.227725883,0.133131005,TRUE
WDR48,-0.127159284,-0.16705339,-0.122748307,-0.147842836,-0.161071213,-0.131249707,-0.14073902,-0.064004777,-0.127281887,-0.206775308,-0.188666831,-0.193073008,FALSE
SCO2,0.437792208,0.622834524,0.583554387,0.302359862,0.194979364,0.231230604,-0.03060466,0.034324719,-0.006903515,-0.042696672,-0.002480896,-0.015012785,FALSE
ARFGEF1,0.027735013,0.065247992,-0.008037406,-0.02104075,0.026849823,0.005061121,-0.113100192,-0.121241809,-0.084282462,-0.181981063,-0.174871208,-0.16621871,FALSE
ALOX5AP,-0.304818419,-0.292873821,-0.30160258,-0.31256883,-0.318348323,-0.298457218,-0.316721164,-0.332423707,-0.320964459,-0.318859813,-0.31991696,-0.322704016,FALSE
PPIE,-0.186714487,-0.197495562,-0.201955588,-0.224906283,-0.221433145,-0.246243026,0.467934031,0.594606927,0.499398196,0.286600217,0.246074472,0.321187017,FALSE
VPS45,-0.136964275,-0.125905857,-0.1298362,-0.080657583,-0.071400757,-0.021212895,-0.202372061,-0.182221138,-0.201931769,-0.14613925,-0.178642398,-0.179768527,FALSE
CCDC88B,-0.306187521,-0.316225312,-0.299222245,-0.316474287,-0.317130125,-0.320287768,-0.320535144,-0.29120785,-0.321100968,-0.303951205,-0.316179771,-0.316026474,FALSE
PLA2G15,-0.24263972,-0.220711448,-0.227635652,-0.198659792,-0.211969591,-0.205366951,-0.290424818,-0.277054522,-0.280971935,-0.290290289,-0.273253463,-0.291288798,FALSE
LRRFIP2,-0.02621405,-0.046419505,-0.020394676,0.094417714,-0.010222053,-0.001465146,-0.154703623,-0.151236504,-0.124456723,-0.119454049,-0.130539029,-0.116194039,FALSE
INPP5B,-0.323904443,-0.322714358,-0.312023839,-0.32279153,-0.324264967,-0.319980137,-0.282826019,-0.275785323,-0.290559972,-0.280027956,-0.282475624,-0.286812777,FALSE
GCM1,-0.309329056,-0.291765654,-0.3146645,-0.309138865,-0.313437442,-0.323717995,-0.30560522,-0.300461517,-0.309800765,-0.309563645,-0.308965825,-0.31107733,FALSE
FANCC,-0.25590521,-0.278536091,-0.253541806,-0.259475213,-0.268524566,-0.260792669,-0.246035809,-0.249041333,-0.249642433,-0.287384558,-0.280539751,-0.26473395,FALSE
PHF19,0.082626389,0.093587389,0.137239082,-0.066665768,-0.055172532,0.009879169,-0.196511398,-0.169201657,-0.181721712,-0.223398406,-0.199870923,-0.223874994,FALSE
KIF15,-0.050631654,-0.052623781,-0.068370894,-0.152134676,-0.147386821,-0.11982632,-0.018867382,-0.024128972,-0.092295822,-0.154218123,-0.168382129,-0.077632471,FALSE
MARS,0.290141572,0.48880858,0.321496111,0.189274716,0.181602635,0.101621188,0.476111045,0.568216026,0.481327844,0.506225238,0.500123975,0.310776606,FALSE
CRK,0.060851004,0.10805329,0.078695957,0.025318078,0.081550764,0.067269638,-0.147672123,-0.114499019,-0.145369546,-0.166179748,-0.158343468,-0.193337723,FALSE
RPS3A,8.592401441,9.937155701,9.135749428,7.524342941,7.922473441,7.858395006,9.246043313,9.623616988,9.994979868,8.573605785,9.379795969,11.09038668,TRUE
SLC6A9,-0.27758044,-0.276623009,-0.2781194,-0.274881086,-0.277888252,-0.275710249,-0.259907624,-0.263508497,-0.271564756,-0.20309761,-0.228246598,-0.250284322,FALSE
ZMIZ2,-0.16141607,-0.166589667,-0.214899139,-0.236704216,-0.243285283,-0.237496022,-0.171724631,-0.18436673,-0.174633593,-0.183719797,-0.20307049,-0.223389074,FALSE
INPP5E,-0.305471888,-0.241785082,-0.293035019,-0.288715378,-0.288908677,-0.283560296,-0.168301209,-0.147578244,-0.186706498,-0.209212793,-0.202573862,-0.247038274,FALSE
HIVEP1,-0.31058715,-0.305320516,-0.301402099,-0.304559247,-0.308423274,-0.312579091,-0.262057364,-0.262664015,-0.269099203,-0.249972637,-0.25635292,-0.282052297,FALSE
GUCY1A2,-0.310136456,-0.3143858,-0.296081878,-0.301805634,-0.293404213,-0.279534969,-0.327353726,-0.328046511,-0.318738613,-0.319681234,-0.32897353,-0.314857195,FALSE
ING2,0.04082252,0.085962491,0.008620825,-0.072763038,-0.103828759,-0.069856186,0.052152565,0.069842767,0.054643619,-0.049682006,-0.036178894,0.019979667,TRUE
ZNF551,-0.304946449,-0.28702922,-0.301358711,-0.311999848,-0.318544641,-0.311786868,-0.28216805,-0.284494833,-0.267603918,-0.293511561,-0.281255214,-0.27078071,FALSE
COA6,-0.14453134,-0.089786988,-0.112484889,-0.198485226,-0.198757681,-0.187142844,-0.172098739,-0.172188389,-0.086239427,-0.198240492,-0.176622608,0.032025289,FALSE
AP1S3,-0.326786366,-0.312027196,-0.321441946,-0.325507163,-0.328807825,-0.326248478,-0.3176655,-0.251448382,-0.274710098,-0.308668405,-0.301081991,-0.298335186,FALSE
PRKDC,-0.002440183,-0.091442317,-0.034593813,0.02717415,0.049241249,-0.045877824,-0.149701984,-0.170716727,-0.117383617,-0.186663886,-0.178614003,-0.129045104,TRUE
TSHZ1,-0.236008085,-0.272048583,-0.236620631,-0.258130544,-0.269322291,-0.259154463,-0.314117699,-0.315748944,-0.309976106,-0.297602744,-0.309315237,-0.31575079,FALSE
NGLY1,0.210254831,0.22520628,0.216836178,0.315093682,0.288611342,0.250954783,-0.063142742,-0.054957515,-0.033992486,0.063895531,0.022471314,0.034202971,FALSE
RPL18A,10.86528369,11.26470057,12.00681345,11.0212863,10.44960409,9.686433194,13.06438438,12.80722158,12.2044452,12.44422291,13.09221969,12.41705658,FALSE
RPSA,5.452390078,4.254010927,5.220683346,4.221955174,3.746791464,3.959866778,3.85309757,4.030800512,3.9188786,3.040512686,2.851166589,3.14404303,FALSE
ZNF786,-0.120794069,-0.141779333,-0.125825089,-0.072605637,-0.143534446,-0.137973519,-0.090912043,-0.131136455,-0.158749102,-0.12882862,-0.12819686,-0.080090224,FALSE
CA2,-0.318707776,-0.326296906,-0.326058614,-0.319067578,-0.327213327,-0.329634128,0.403799085,0.511289351,0.28006635,0.213433933,0.306807287,0.042812419,FALSE
ATN1,-0.282139945,-0.249705286,-0.285172633,-0.277462276,-0.275380509,-0.28096087,-0.303838821,-0.307273409,-0.291907686,-0.308451578,-0.303246658,-0.293637204,TRUE
LRP1B,-0.299695017,-0.315105609,-0.303277492,-0.294803274,-0.300030679,-0.318431533,-0.331230661,-0.324041592,-0.318924489,-0.322637553,-0.321225482,-0.305935134,FALSE
DPH5,-0.02806367,-0.008366688,-0.023186046,-0.080674747,-0.086025351,-0.060550743,0.133348608,0.181578409,0.142596799,-0.014944588,-0.062189468,0.079730634,FALSE
ATP2C2,-0.325019707,-0.321200145,-0.32178007,-0.31960771,-0.329859811,-0.332712074,-0.282871629,-0.2882634,-0.274843297,-0.261458055,-0.271047755,-0.282785016,FALSE
COMMD7,0.060176814,0.024787968,0.074626497,0.074185348,0.100447839,0.179002897,0.826659205,1.0341643,0.710941062,0.932473912,0.876939094,0.747536362,FALSE
PKMYT1,-0.301306413,-0.28911059,-0.289173895,-0.294969806,-0.281940485,-0.264175855,-0.299866306,-0.299589741,-0.289897742,-0.292176662,-0.28778589,-0.283318834,FALSE
SLC25A1,-0.096577982,-0.14536069,-0.101643967,-0.004352536,0.020364003,-0.029426324,-0.063893426,-0.070466357,-0.092489976,-0.030465824,-0.062949421,-0.098923735,FALSE
TXNIP,0.350273278,0.044479661,0.126479948,-0.057942096,-0.087547914,-0.121619834,-0.321435365,-0.320966093,-0.317483386,-0.322832161,-0.323210258,-0.308515738,TRUE
AMY1B,-0.246010844,-0.24989257,-0.22109786,-0.193900008,-0.179711512,-0.178517025,-0.166437336,-0.157237164,-0.003915453,-0.166252602,-0.150269495,-0.085980008,FALSE
POT1,-0.294449432,-0.307489734,-0.302943232,-0.303745215,-0.298014561,-0.297334791,-0.294771753,-0.296560701,-0.279800289,-0.291112964,-0.298506085,-0.279083323,FALSE
TTC7A,-0.324002871,-0.330246973,-0.322170559,-0.325197473,-0.328202023,-0.334233276,-0.31507325,-0.303640143,-0.313008066,-0.307637105,-0.316229687,-0.314990283,FALSE
RBM47,-0.178945141,-0.191043686,-0.169367066,-0.170700752,-0.199615962,-0.243476519,0.261264591,0.182690615,0.256315369,0.391593725,0.418196154,0.481780448,FALSE
ASCL2,-0.313465224,-0.335690681,-0.315039279,-0.317981836,-0.319455908,-0.315656887,-0.295295287,-0.308606605,-0.27784666,-0.294721619,-0.300804921,-0.281879721,FALSE
ZC3H8,-0.248369227,-0.222713993,-0.267140835,-0.297445137,-0.283826384,-0.252992897,-0.067616935,-0.016467996,-0.020227132,-0.183926781,-0.155246988,-0.118802212,TRUE
GUSB,-0.058166896,-0.049401559,-0.014358534,0.004752649,-0.010770718,0.008306919,-0.007347684,0.010509418,-0.040185842,0.086618855,0.050645638,0.075497025,FALSE
