IDENTIFIER,GSM1338298,GSM1338302,GSM1338306,GSM1338297,GSM1338301,GSM1338305,GSM1338296,GSM1338300,GSM1338304,GSM1338295,GSM1338299,GSM1338303,label
CD9,212.946,186.093,188.5895,246.5285,204.827,210.726,410.641,374.4965,365.952,544.1625,565.995,713.3175,FALSE
IPMK,135.092,112.328,108.833,123.001,115.147,113.786,123.806,105.162,109.03,113.571,115.72,113.018,FALSE
PIK3C2A,239.5365,250.979,234.906,246.2025,231.246,206.6295,354.0765,347.9515,263.766,339.066,373.3575,245.551,FALSE
CHCHD10,542.792,655.313,563.731,609.851,502.987,345.804,943.993,1123.96,1136.64,1365.49,1319.11,1842.9,FALSE
SLC25A11,226.902,254.344,216.77,309.526,259.276,283.897,148.443,140.257,157.149,181.66,157.252,186.921,FALSE
TREML2,108.771,94.2591,102.559,108.828,116.225,103.409,108.645,130.263,105.24,97.1398,95.787,89.7178,FALSE
HNRNPK,1201.955,1355.73625,1245.02225,1391.49675,1529.8365,1352.315,1224.78225,1427.00375,1067.80825,1284.16325,1397.475,1112.38475,TRUE
CRYBA4,95.8382,106.743,102.166,100.806,96.2095,88.6998,95.2995,100.691,101.198,92.7428,88.9217,97.3111,FALSE
EIF4G2,2833.691,3579.596,2952.539333,3304.89,3549.010333,3886.89,6726.153333,6882.523333,6258.739333,6571.673333,6413.049333,5377.88,FALSE
BLVRB,215.185,179.155,213.155,368.425,298.741,252.675,611.905,510.824,772.22,959.822,877.714,1365.49,FALSE
IRAK1,3283.6,4586.5,3681.72,2714.3,2538.25,2666.03,3890.29,3747.7,3220.76,4142.91,4496.3,3501.53,TRUE
MAP2K4,308.833,342.1515,293.11,420.6055,437.107,425.577,250.511,238.7915,253.4595,375.8225,371.8865,325.9525,TRUE
GNLY,97.29306667,99.82623333,100.7864333,97.1029,102.4434667,94.9487,99.02693333,94.7731,100.9234667,100.3275667,98.24593333,96.8366,FALSE
DDX55,875.774,904.394,961.435,800.734,767.347,762.235,972.788,1110.71,693.95,807.192,792.208,658.869,FALSE
VPS36,1431.76,1253.78,1299,1157.61,1165.13,1305.31,669.858,649.707,709.548,376.774,435.227,362.016,FALSE
NCBP1,1127.39,965.441,1034.38,1114.6,1110.96,1320.24,1217.79,1023.88,1161.07,1100.37,1038.61,1061.09,FALSE
MMS22L,142.5865,154.9305,138.2727,117.2672,135.7865,140.0315,189.1265,166.91,219.2585,177.8385,161.6515,190.366,FALSE
NOV,105.091,111.645,109.499,119.247,117.254,118.551,131.616,127.475,122.119,128.206,126.295,126.464,FALSE
DBP,133.009,137.813,167.425,161.045,132.08,130.948,155.619,132.539,153.505,166.527,149.761,158.153,FALSE
BLOC1S4,531.337,372.162,473.057,510.064,470.543,456.448,253.425,318.014,317.434,313.868,399.255,438.47,FALSE
IGSF3,150.294,148.3605,155.973,138.611,139.275,150.723,677.842,642.5485,712.9015,733.3975,711.8115,804.997,FALSE
ACSL5,100.53294,103.28346,98.35318,100.66372,100.01496,96.15362,101.45406,98.90248,104.45568,101.65978,102.40094,99.28362,FALSE
