,IDENTIFIER,GSM1338298,GSM1338302,GSM1338306,GSM1338297,GSM1338301,GSM1338305,GSM1338296,GSM1338300,GSM1338304,GSM1338295,GSM1338299,GSM1338303,GO:Process,GO:Process ID,apoptosis_related
17,AAMDC,715.385,538.165,725.7669999999999,850.329,816.941,703.248,897.5889999999999,792.6210000000001,667.201,1445.41,1402.33,1179.31,negative regulation of apoptotic process///positive regulation of fat cell differentiation///positive regulation of transcription from RNA polymerase II promoter,GO:0043066///GO:0045600///GO:0045944,True
22,AARS,5383.86,4379.33,4772.37,6127.86,5581.5,4923.59,5238.18,4785.93,4291.49,4616.21,4568.9,3639.57,alanyl-tRNA aminoacylation///cerebellar Purkinje cell layer development///endoplasmic reticulum unfolded protein response///hair follicle development///negative regulation of neuron apoptotic process///neuromuscular process controlling balance///protein folding///regulation of translational fidelity///response to amino acid///tRNA aminoacylation for protein translation///tRNA modification///tRNA processing,GO:0006419///GO:0021680///GO:0030968///GO:0001942///GO:0043524///GO:0050885///GO:0006457///GO:0006450///GO:0043200///GO:0006418///GO:0006400///GO:0008033,True
25,AASDHPPT,736.422,783.995,659.9855,619.7835,709.179,712.6289999999999,721.1675,746.1175,906.7535,885.69,844.687,896.3315,lysine biosynthetic process via aminoadipic acid///pantothenate metabolic process,GO:0019878///GO:0015939,False
67,ABCE1,994.6089999999999,1219.455,1045.0945,957.0425,1049.355,1240.11,1075.355,1198.775,897.336,1106.5025,1185.095,1128.95,negative regulation of endoribonuclease activity///ribosomal subunit export from nucleus///translational initiation///translational termination///transmembrane transport///viral process,GO:0060702///GO:0000054///GO:0006413///GO:0006415///GO:0055085///GO:0016032,False
68,ABCF1,1961.8225,1679.424,1621.9475,1379.8805,1413.796,1457.515,2329.722,2454.975,1982.6755,1737.527,1880.6565,1447.332,inflammatory response///translation///transmembrane transport,GO:0006954///GO:0006412///GO:0055085,False
111,ACADM,1295.905,1262.575,1231.16,1975.245,1849.125,1560.19,1270.66,1177.4515,1315.499,2086.56,2022.62,1469.62,"carnitine biosynthetic process///carnitine metabolic process, CoA-linked///fatty acid beta-oxidation///fatty acid beta-oxidation///fatty acid beta-oxidation using acyl-CoA dehydrogenase///fatty acid beta-oxidation using acyl-CoA dehydrogenase///lipid homeostasis///medium-chain fatty acid catabolic process///medium-chain fatty acid metabolic process///oxidation-reduction process",GO:0045329///GO:0019254///GO:0006635///GO:0006635///GO:0033539///GO:0033539///GO:0055088///GO:0051793///GO:0051791///GO:0055114,False
114,ACADVL,1166.448667,1217.562667,1246.267667,1690.51,1454.828333,1571.077333,738.6236667000001,752.42,682.6526667,873.6210000000001,939.4923332999998,912.0983332999999,IRE1-mediated unfolded protein response///energy derivation by oxidation of organic compounds///epithelial cell differentiation///fatty acid beta-oxidation///fatty acid beta-oxidation using acyl-CoA dehydrogenase///fatty acid beta-oxidation using acyl-CoA dehydrogenase///lipid homeostasis///negative regulation of fatty acid biosynthetic process///negative regulation of fatty acid oxidation///regulation of cholesterol metabolic process///temperature homeostasis///very long-chain fatty acid catabolic process,GO:0036498///GO:0015980///GO:0030855///GO:0006635///GO:0033539///GO:0033539///GO:0055088///GO:0045717///GO:0046322///GO:0090181///GO:0001659///GO:0042760,False
119,ACAT1,3167.56,3100.42,3303.14,2959.81,3547.5,3048.65,1487.53,1397.63,2208.96,1401.7,1479.06,1977.02,adipose tissue development///brain development///branched-chain amino acid catabolic process///ketone body biosynthetic process///ketone body catabolic process///liver development///metanephric proximal convoluted tubule development///protein homooligomerization///response to hormone///response to organic cyclic compound///response to starvation,GO:0060612///GO:0007420///GO:0009083///GO:0046951///GO:0046952///GO:0001889///GO:0072229///GO:0051260///GO:0009725///GO:0014070///GO:0042594,False
120,ACAT2,1276.0305,1318.3220000000001,960.4425,1118.6615,1327.743,1020.1455,3182.7355,2580.2329999999997,2137.402,2273.831,2090.239,1579.4045,lipid metabolic process,GO:0006629,False
121,ACBD3,1399.01,1228.58,995.002,1512.18,1477.7,1367.94,960.203,938.221,845.26,1171.23,1104.61,1316.68,steroid biosynthetic process///transport,GO:0006694///GO:0006810,False
137,ACLY,1588.601,1384.441,1531.11,2020.13,2211.525,1926.215,1611.405,1448.8935,1410.595,1850.91,1787.805,1346.4815,acetyl-CoA biosynthetic process///cholesterol biosynthetic process///citrate metabolic process///fatty acid biosynthetic process///lipid biosynthetic process///long-chain fatty-acyl-CoA biosynthetic process///oxaloacetate metabolic process///positive regulation of cellular metabolic process,GO:0006085///GO:0006695///GO:0006101///GO:0006633///GO:0008610///GO:0035338///GO:0006107///GO:0031325,False
139,ACO1,1362.9,1141.93,1355.43,1302.55,1442.12,1323.66,1114.28,861.1669999999999,975.0989999999999,963.237,1014.71,915.052,cellular iron ion homeostasis///citrate metabolic process///intestinal absorption///post-embryonic development///regulation of translation///response to iron(II) ion///tricarboxylic acid cycle,GO:0006879///GO:0006101///GO:0050892///GO:0009791///GO:0006417///GO:0010040///GO:0006099,False
